EISSN,Title,JCR Abbr,ISO Abbr,Med Abbr
1469-297X,Assessment & Evaluation in Higher Education,ASSESS EVAL HIGH EDU,Assess. Eval. High. Educ.,Assess Eval High Educ
1872-6178,ENERGY AND BUILDINGS,ENERG BUILDINGS,Energy Build.,Energy Build
1095-8533,JOURNAL OF VISUAL LANGUAGES AND COMPUTING,J VISUAL LANG COMPUT,J. Vis. Lang. Comput.,J Vis Lang Comput
2373-9878,ACS Biomaterials Science & Engineering,ACS BIOMATER SCI ENG,ACS Biomater. Sci. Eng.,ACS Biomater Sci Eng
1879-0755,COMPUTERS & ELECTRICAL ENGINEERING,COMPUT ELECTR ENG,Comput. Electr. Eng.,Comput Electr Eng
1613-9798,STATISTICAL PAPERS,STAT PAP,Stat. Pap.,Stat Pap (Berl)
2375-6322,Aerospace Medicine and Human Performance,AEROSP MED HUM PERF,Aerosp. Med.Hum. Perform.,Aerosp Med Hum Perform
1941-0034,IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST,IEEE Trans. Fuzzy Syst.,IEEE Trans Fuzzy Syst
2326-5108,Health Security,HEALTH SECUR,Health Secur.,Health Secur
2051-6673,Borderline Personality Disorder and Emotion Dysregulation,BORDER PERS DIS EMOT,Borderline Personal. Disord. Emot. Dysregulation,Borderline Personal Disord Emot Dysregul
2296-889X,Frontiers in Molecular Biosciences,FRONT MOL BIOSCI,Front. Mol. Biosci.,Front Mol Biosci
1558-2213,JOURNAL OF LIGHTWAVE TECHNOLOGY,J LIGHTWAVE TECHNOL,J. Lightwave Technol.,J Lightwave Technol
2052-174X,Austral Entomology,AUSTRAL ENTOMOL,Austral Entomol.,Aust Entomol
2186-2451,ELECTROCHEMISTRY,ELECTROCHEMISTRY,Electrochemistry,Electrochemistry (Tokyo)
2163-5307,BEHAVIORAL DISORDERS,BEHAV DISORDERS,Behav. Disord.,Behav Disord
2162-8777,ECS Journal of Solid State Science and Technology,ECS J SOLID STATE SC,ECS J. Solid State Sci. Technol.,ECS J Solid State Sci Technol
2405-4720,Cell Systems,CELL SYST,Cell Syst.,Cell Syst
2073-4441,Water,WATER-SUI,Water,Water (Basel)
1802-8225,BULLETIN OF GEOSCIENCES,B GEOSCI,Bull. Geosci.,Bull Geosci
2095-9281,Science Bulletin,SCI BULL,Sci. Bull.,Sci Bull (Beijing)
1741-2749,European Physical Education Review,EUR PHYS EDUC REV,Eur. Phys. Educ. Rev.,Eur Phy Educ Rev
1470-1243,SPORT EDUCATION AND SOCIETY,SPORT EDUC SOC,Sport. Educ. Soc.,Sport Educ Soc
1742-5786,Physical Education and Sport Pedagogy,PHYS EDUC SPORT PEDA,Phys. Educ. Sport Pedag.,Phys Educ Sport Pedagogy
2190-5517,Applied Nanoscience,APPL NANOSCI,Appl. Nanosci.,Appl Nanosci
2314-4939,Journal of Spectroscopy,J SPECTROSC,J. Spectrosc.,J Spectrosc (Hindawi)
2075-4418,Diagnostics,DIAGNOSTICS,Diagnostics,Diagnostics (Basel)
2352-4316,Extreme Mechanics Letters,EXTREME MECH LETT,EXTREME MECH. LETT.,Extreme Mech Lett
2296-9357,Kidney Diseases,KIDNEY DIS-BASEL,Kidney Dis.,Kidney Dis (Basel)
1935-3804,Journal of Coatings Technology and Research,J COAT TECHNOL RES,J. Coat. Technol. Res.,J Coat Technol Res
1469-9400,Journal of Contemporary China,J CONTEMP CHINA,J. Contemp. China,J Contemp China
2368-7959,JMIR Mental Health,JMIR MENT HEALTH,JMIR Ment. Health,JMIR Ment Health
2332-6505,Sociology of Race and Ethnicity,SOCIOL RACE ETHNIC,Sociol. Race Ethnic.,Sociol Race Ethn (Thousand Oaks)
2196-436X,Latin American Economic Review,LAT AM ECON REV,Latin. Am. Econ. Rev.,Lat Am Econ Rev
2056-4538,Journal of Pathology Clinical Research,J PATHOL CLIN RES,J. Pathol. Clin. Res.,J Pathol Clin Res
2197-7364,EJNMMI Physics,EJNMMI PHYS,EJNMMI Phys.,EJNMMI Phys
2168-6785,IEEE Journal of Emerging and Selected Topics in Power Electronics,IEEE J EM SEL TOP P,IEEE J. Emerg. Sel. Top. Power Electron.,IEEE J Emerg Sel Top Power Electron
1557-7341,ACM COMPUTING SURVEYS,ACM COMPUT SURV,ACM Comput. Surv.,ACM Comput Surv
1090-2651,INFORMATION AND COMPUTATION,INFORM COMPUT,Inf. Comput.,Inf Comput
1793-6527,JOURNAL OF KNOT THEORY AND ITS RAMIFICATIONS,J KNOT THEOR RAMIF,J. Knot Theory Ramifications,J Knot Theory Ramif
2151-2388,Journal of Media Psychology-Theories Methods and Applications,J MEDIA PSYCHOL-GER,J. Media Psychol.,J Media Psychol
2191-9097,Nanotechnology Reviews,NANOTECHNOL REV,Nanotechnol. Rev.,Nanotechnol Rev
1943-0698,IEEE Transactions on Computational Intelligence and AI in Games,IEEE T COMP INTEL AI,IEEE Trans. Comput. Intell. AI Games,IEEE Trans Comput Intell AI Games
1573-7462,ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV,Artif. Intell. Rev.,Artif Intell Rev
1573-093X,SOLAR PHYSICS,SOL PHYS,Sol. Phys.,Sol Phys
1467-9779,Journal of Public Economic Theory,J PUBLIC ECON THEORY,J. Public. Econ. Theory.,J Public Econ Theory
1365-246X,GEOPHYSICAL JOURNAL INTERNATIONAL,GEOPHYS J INT,Geophys. J. Int.,Geophys J Int
1432-0819,BULLETIN OF VOLCANOLOGY,B VOLCANOL,Bull. Volcanol.,Bull Volcanol
1616-7228,OCEAN DYNAMICS,OCEAN DYNAM,Ocean Dyn.,Ocean Dyn
1432-0606,APPLIED MATHEMATICS AND OPTIMIZATION,APPL MATH OPT,Appl. Math. Optim.,Appl Math Optim
1573-0956,SURVEYS IN GEOPHYSICS,SURV GEOPHYS,Surv. Geophys.,Surv Geophys
1614-7502,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,INT J LIFE CYCLE ASS,Int. J. Life Cycle Assess.,Int J Life Cycle Assess
1876-4525,Food Security,FOOD SECUR,Food Secur.,Food Secur
2374-7951,ACS Central Science,ACS CENTRAL SCI,ACS Central Sci.,ACS Cent Sci
2352-7714,One Health,ONE HEALTH-AMSTERDAM,One Health,One Health
2376-5992,PeerJ Computer Science,PEERJ COMPUT SCI,PeerJ Comput. Sci.,PeerJ Comput Sci
2160-7648,Clinical Pharmacology in Drug Development,CLIN PHARM DRUG DEV,Clin. Pharmacol. Drug Dev.,Clin Pharmacol Drug Dev
2333-9403,IEEE Transactions on Computational Imaging,IEEE T COMPUT IMAG,IEEE Trans. Comput. Imaging,IEEE Trans Comput Imaging
1460-3632,Body & Society,BODY SOC,Body Soc.,Body Soc
1944-8260,Nordic Journal of Music Therapy,NORD J MUSIC THER,Nord. J. Music Ther.,Nord J Music Ther
1993-0321,Journal of Mountain Science,J MT SCI-ENGL,J Mt. Sci.,J Mt Sci
2056-5968,Cell Discovery,CELL DISCOV,Cell Discov.,Cell Discov
1742-9552,Clinical Psychologist,CLIN PSYCHOL-UK,Clin. Psychol.,Clin Psychol (Aust Psychol Soc)
1758-7670,RAPID PROTOTYPING JOURNAL,RAPID PROTOTYPING J,Rapid Prototyping J.,Rapid Prototyp J
2093-3371,Journal of Analytical Science and Technology,J ANAL SCI TECHNOL,J. Anal. Sci. Technol.,J Anal Sci Technol
1755-053X,FINANCIAL MANAGEMENT,FINANC MANAGE,Financ. Manage.,Financ Manage
1940-9133,PSYCHOANALYTIC INQUIRY,PSYCHOANAL INQ,Psychoanal. Inq.,Psychoanal Inq
1558-1500,IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION,IEEE T PROF COMMUN,IEEE Trans. Prof. Commun.,IEEE Trans Prof Commun
1873-3352,JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES,J LOSS PREVENT PROC,J. Loss Prev. Process Ind.,J Loss Prev Process Ind
1751-9667,IET Image Processing,IET IMAGE PROCESS,IET Image Process.,IET Image Process
1944-799X,RADIO SCIENCE,RADIO SCI,Radio Sci.,Radio Sci
1557-9581,IEEE MICROWAVE MAGAZINE,IEEE MICROW MAG,IEEE Microw. Mag.,IEEE Microw Mag
1097-4539,X-RAY SPECTROMETRY,X-RAY SPECTROM,X-Ray Spectrom.,Xray Spectrom
2052-7276,Horticulture Research,HORTIC RES-ENGLAND,Hortic. Res.-England,Hortic Res
1765-2839,Oncologie,ONCOLOGIE,Oncologie,Oncologie (Paris)
1614-6840,Advanced Energy Materials,ADV ENERGY MATER,Adv. Energy Mater.,Adv Energy Mater
2051-1434,Conservation Physiology,CONSERV PHYSIOL,Conserv. Physiol.,Conserv Physiol
1365-2419,FISHERIES OCEANOGRAPHY,FISH OCEANOGR,Fish Oceanogr.,Fish Oceanogr
2195-1071,Advanced Optical Materials,ADV OPT MATER,Adv. Opt. Mater.,Adv Opt Mater
2169-9402,JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS,J GEOPHYS RES-SPACE,J. Geophys. Res-Space Phys.,J Geophys Res Space Phys
2049-1573,Stat,STAT-US,Stat,Stat (Int Stat Inst)
2169-9356,JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,J GEOPHYS RES-SOL EA,J. Geophys. Res.-Solid Earth,J Geophys Res Solid Earth
1099-159X,PROGRESS IN PHOTOVOLTAICS,PROG PHOTOVOLTAICS,Prog. Photovoltaics,Prog Photovolt
1096-9845,EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS,EARTHQ ENG STRUCT D,Earthq. Eng. Struct. Dyn.,Earthq Eng Struct Dyn
2169-9100,JOURNAL OF GEOPHYSICAL RESEARCH-PLANETS,J GEOPHYS RES-PLANET,J. Geophys. Res.-Planets,J Geophys Res Planets
1526-4025,APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,APPL STOCH MODEL BUS,Appl. Stoch. Models. Bus. Ind.,Appl Stoch Models Bus Ind
1612-5118,Landslides,LANDSLIDES,Landslides,Landslides
1095-7162,SIAM JOURNAL ON MATRIX ANALYSIS AND APPLICATIONS,SIAM J MATRIX ANAL A,SIAM J. Matrix Anal. Appl.,SIAM J Matrix Anal Appl
1572-9532,GENERAL RELATIVITY AND GRAVITATION,GEN RELAT GRAVIT,Gen. Relativ. Gravit.,Gen Relativ Gravit
1559-9620,International Journal of Optomechatronics,INT J OPTOMECHATRONI,Int. J. Optomechatronics,Int J Optomechatronics
1099-0860,Children & Society,CHILD SOC,Child. Soc.,Child Soc
1525-2027,GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS,GEOCHEM GEOPHY GEOSY,Geochem. Geophys. Geosyst.,Geochem Geophys Geosyst
1097-0088,INTERNATIONAL JOURNAL OF CLIMATOLOGY,INT J CLIMATOL,Int. J. Climatol.,Int J Climatol
2169-9011,JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE,J GEOPHYS RES-EARTH,J. Geophys. Res.-Earth Surf.,J Geophys Res Earth Surf
1468-5957,Journal of Business Finance & Accounting,J BUS FINAN ACCOUNT,J. Bus. Finan. Account.,J Bus Finance Account
2371-9621,AI MAGAZINE,AI MAG,AI Mag.,AI Mag
1365-2494,GRASS AND FORAGE SCIENCE,GRASS FORAGE SCI,Grass Forage Sci.,Grass Forage Sci
2169-9291,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,J GEOPHYS RES-OCEANS,J. Geophys. Res.-Oceans,J Geophys Res Oceans
1542-7390,SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,SPACE WEATHER,Space Weather,Space Weather
1477-870X,QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY,Q J ROY METEOR SOC,Q. J. R. Meteorol. Soc.,Q J R Meteorol Soc
1096-9853,INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS,INT J NUMER ANAL MET,Int. J. Numer. Anal. Methods Geomech.,Int J Numer Anal Methods Geomech
1433-0490,THEORY OF COMPUTING SYSTEMS,THEOR COMPUT SYST,Theor. Comput. Syst.,Theory Comput Syst
2055-0391,JOURNAL OF ANIMAL SCIENCE AND TECHNOLOGY,J ANIM SCI TECHNOL,J. Anim. Sci. Technol.,J Anim Sci Technol
1943-5711,APPLIED COMPUTATIONAL ELECTROMAGNETICS SOCIETY JOURNAL,APPL COMPUT ELECTROM,Appl. Comput. Electromagn. Soc. J.,Appl Comput Electromagn Soc J
1744-3598,PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,PROCESS SAF ENVIRON,Process Saf. Environ. Protect.,Process Saf Environ Prot
1873-4545,INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,INT J ROCK MECH MIN,Int. J. Rock Mech. Min. Sci.,Int J Rock Mech Min Sci (1997)
0219-3094,Annals of Combinatorics,ANN COMB,Ann. Comb.,Ann Comb
1992-6049,Critical Arts-South-North Cultural and Media Studies,CRIT ARTS,Crit. Arts,Crit Arts
1432-2021,PHYSICS AND CHEMISTRY OF MINERALS,PHYS CHEM MINER,Phys. Chem. Miner.,Phys Chem Miner
2054-0906,Journal of Demographic Economics,J DEMOGR ECON,J.Demogr. Econ.,J Demogr Economics
2212-3865,Journal of Natural Gas Science and Engineering,J NAT GAS SCI ENG,J. Nat. Gas Sci. Eng.,J Nat Gas Sci Eng
1741-5152,International Journal of Heavy Vehicle Systems,INT J HEAVY VEH SYST,Int. J. Heavy Veh. Syst.,Int J Heavy Veh Syst
1941-0077,IEEE TRANSACTIONS ON MULTIMEDIA,IEEE T MULTIMEDIA,IEEE Trans. Multimedia,IEEE Trans Multimedia
1477-2221,Competition & Change,COMPET CHANG,Compet. Chang.,Compet Change
1573-9295,SYSTEMIC PRACTICE AND ACTION RESEARCH,SYST PRACT ACT RES,Syst. Pract. Action Res.,Syst Pract Action Res
2148-3817,Journal of International Advanced Otology,J INT ADV OTOL,J. Int. Adv. Otol.,J Int Adv Otol
1873-4073,MARINE AND PETROLEUM GEOLOGY,MAR PETROL GEOL,Mar. Pet. Geol.,Mar Pet Geol
1588-2780,JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY,J RADIOANAL NUCL CH,J. Radioanal. Nucl. Chem.,J Radioanal Nucl Chem
1090-6487,JETP LETTERS,JETP LETT+,Jetp Lett.,JETP Lett
1999-4907,Forests,FORESTS,Forests,Forests
2072-7151,Austrian Journal of Earth Sciences,AUSTRIAN J EARTH SCI,Austrian J. Earth Sci.,Austrian J Earth Sci
2198-6061,Current Climate Change Reports,CURR CLIM CHANGE REP,Curr. Clim. Chang. Rep.,Curr Clim Change Rep
1091-7675,POLITICAL COMMUNICATION,POLIT COMMUN,Polit. Commun.,Polit Commun
2198-3844,Advanced Science,ADV SCI,Adv. Sci.,Adv Sci (Weinh)
2196-4386,Computational Particle Mechanics,COMPUT PART MECH,Comput. Part. Mech.,Comput Part Mech
2057-1577,Virus Evolution,VIRUS EVOL,Virus Evol.,Virus Evol
1748-0949,International Journal of Mining Reclamation and Environment,INT J MIN RECLAM ENV,Int. J. Min. Reclam. Environ.,Int J Min Reclam Environ
2058-7716,Cell Death Discovery,CELL DEATH DISCOV,Cell Death Discov.,Cell Death Discov
2405-4569,European Urology Focus,EUR UROL FOCUS,Eur. Urol. Focus,Eur Urol Focus
2199-241X,Mammal Research,MAMMAL RES,Mammal Res.,Mamm Res
1854-2476,Zdravstveno Varstvo,ZDRAV VARST,Zdrav. Varst.,Zdr Varst
1897-1695,Geochronometria,GEOCHRONOMETRIA,Geochronometria,Geochronometria
2405-8033,Trends in Cancer,TRENDS CANCER,Trends Cancer,Trends Cancer
1098-2736,JOURNAL OF RESEARCH IN SCIENCE TEACHING,J RES SCI TEACH,J. Res. Sci. Teach.,J Res Sci Teach
2191-0189,REVIEWS IN ANALYTICAL CHEMISTRY,REV ANAL CHEM,Rev. Anal. Chem.,Rev Anal Chem
2227-9032,Healthcare,HEALTHCARE-BASEL,Healthcare,Healthcare (Basel)
2075-163X,Minerals,MINERALS-BASEL,Minerals,Minerals (Basel)
2326-0254,Eye and Vision,EYE VISION,Eye Vis.,Eye Vis (Lond)
2056-306X,Zoological Letters,ZOOL LETT,Zool. Lett.,Zoological Lett
1552-356X,Cultural Studies-Critical Methodologies,CULT STUD-CRIT METHO,Cult. Stud.-Crit. Methodologies,Cult Stud Crit Methodol
1681-7575,METROLOGIA,METROLOGIA,Metrologia,Metrologia
2055-5008,npj Biofilms and Microbiomes,NPJ BIOFILMS MICROBI,npj Biofilms Microbomes,NPJ Biofilms Microbiomes
2332-3507,American Journal of Health Economics,AM J HEALTH ECON,AM. J. HEALTH ECON.,Am J Health Econ
1572-9583,Journal of Logic Language and Information,J LOGIC LANG INFORM,J. Log. Lang. Inf.,J Logic Lang Inf
2044-8333,LEGAL AND CRIMINOLOGICAL PSYCHOLOGY,LEGAL CRIMINOL PSYCH,Legal Criminol. Psychol.,Legal Criminol Psychol
1557-251X,International Journal of Sport and Exercise Psychology,INT J SPORT EXERC PS,Int. J. Sport Exerc. Psychol.,Int J Sport Exerc Psychol
2372-7705,Molecular Therapy-Oncolytics,MOL THER ONCOLYTICS,Mol. Ther.-Oncolytics,Mol Ther Oncolytics
1745-3984,JOURNAL OF EDUCATIONAL MEASUREMENT,J EDUC MEAS,J. Educ. Meas.,J Educ Meas
2325-1026,Elementa-Science of the Anthropocene,ELEMENTA-SCI ANTHROP,Elementa-Sci. Anthrop.,Elementa (Wash D C)
1935-5149,Food and Bioprocess Technology,FOOD BIOPROCESS TECH,Food Bioprocess Technol.,Food Bioproc Tech
2334-265X,npj Schizophrenia,NPJ SCHIZOPHR,npj Schizophr.,NPJ Schizophr
1872-7840,INTERNATIONAL JOURNAL OF COAL GEOLOGY,INT J COAL GEOL,Int. J. Coal Geol.,Int J Coal Geol
1469-5820,Educational Psychology,EDUC PSYCHOL-UK,Educ. Psychol.,Educ Psychol (Lond)
1742-6545,Journal of Sexual Aggression,J SEX AGGRESS,J. Sex. Aggress.,J Sex Aggress
1366-5863,INTERNATIONAL JOURNAL OF PEST MANAGEMENT,INT J PEST MANAGE,Int. J. Pest Manage.,Int J Pest Manag
1944-950X,EXPERIMENTAL MATHEMATICS,EXP MATH,Exp. Math.,Exp Math
1878-0792,EXPOSITIONES MATHEMATICAE,EXPO MATH,Expo. Math.,Expo Math
2056-4724,BJPsych Open,BJPSYCH OPEN,BJPsych Open,BJPsych Open
1473-3277,Childrens Geographies,CHILD GEOGR,Child. Geogr.,Child Geogr
1467-8438,Australian and New Zealand Journal of Family Therapy,AUST NZ J FAM THER,Aust. N. Z. J. Fam. Ther.,Aust N Z J Fam Ther
1090-2724,JOURNAL OF COMPUTER AND SYSTEM SCIENCES,J COMPUT SYST SCI,J. Comput. Syst. Sci.,J Comput Syst Sci
1365-2729,JOURNAL OF COMPUTER ASSISTED LEARNING,J COMPUT ASSIST LEAR,J. Comput. Assist. Learn.,J Comput Assist Learn
1569-4429,Photonics and Nanostructures-Fundamentals and Applications,PHOTONIC NANOSTRUCT,Photonics Nanostruct.,Photonics Nanostruct
1432-1343,JOURNAL OF CLASSIFICATION,J CLASSIF,J. Classif.,J Classif
1873-7986,INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,INT J IND ORGAN,Int. J. Ind. Organ.,Int J Ind Organ
1618-0399,AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,AEU-INT J ELECTRON C,AEU-Int. J. Electron. Commun.,Int J Electron Commun
1434-4483,THEORETICAL AND APPLIED CLIMATOLOGY,THEOR APPL CLIMATOL,Theor. Appl. Climatol.,Theor Appl Climatol
2352-3735,Bladder Cancer,BLADDER CANCER,Bladder Cancer,Bladder Cancer
1873-4715,JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,J PETROL SCI ENG,J. Pet. Sci. Eng.,J Pet Sci Eng
1944-4931,Teacher Education and Special Education,TEACH EDUC SPEC EDUC,Teach. Educ. Spec. Educ.,Teach Educ Spec Educ
1878-1462,SIMULATION MODELLING PRACTICE AND THEORY,SIMUL MODEL PRACT TH,Simul. Model. Pract. Theory,Simul Model Pract Theory
2210-5328,AUSTRALIAN EDUCATIONAL RESEARCHER,AUST EDUC RES,Aust. Educ. Res.,Aust Educ Res
1029-8479,JOURNAL OF HIGH ENERGY PHYSICS,J HIGH ENERGY PHYS,J. High Energy Phys.,J High Energy Phys
1432-1394,JOURNAL OF GEODESY,J GEODESY,J. Geodesy,J Geod
2379-3694,ACS Sensors,ACS SENSORS,ACS Sens.,ACS Sens
1873-4189,MATERIALS CHARACTERIZATION,MATER CHARACT,Mater. Charact.,Mater Charact
1873-1201,JOURNAL OF STRUCTURAL GEOLOGY,J STRUCT GEOL,J. Struct. Geol.,J Struct Geol
1873-0639,JOURNAL OF INTERNATIONAL MONEY AND FINANCE,J INT MONEY FINANC,J. Int. Money Finan.,J Int Money Finance
1873-1376,JOURNAL OF PURE AND APPLIED ALGEBRA,J PURE APPL ALGEBRA,J. Pure Appl. Algebr.,J Pure Appl Algebra
1872-6143,LITHOS,LITHOS,Lithos,Lithos
1096-1658,JOURNAL OF NUMBER THEORY,J NUMBER THEORY,J. Number Theory,J Number Theory
1872-9460,MARINE POLICY,MAR POLICY,Mar. Pol.,Mar Policy
1095-855X,JOURNAL OF SYMBOLIC COMPUTATION,J SYMB COMPUT,J. Symb. Comput.,J Symb Comput
1873-0647,JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,J S AM EARTH SCI,J. South Am. Earth Sci.,J South Am Earth Sci
1873-7226,FIRE SAFETY JOURNAL,FIRE SAFETY J,Fire Saf. J.,Fire Saf J
1096-0287,QUATERNARY RESEARCH,QUATERNARY RES,Quat. Res.,Quat Res
2391-5412,Open Life Sciences,OPEN LIFE SCI,Open Life Sci.,Open Life Sci
1466-4429,JOURNAL OF EUROPEAN PUBLIC POLICY,J EUR PUBLIC POLICY,J. Eur. Public Policy,J Eur Public Policy
1873-412X,MEASUREMENT,MEASUREMENT,Measurement,Measurement (Lond)
1572-8641,MINDS AND MACHINES,MIND MACH,Minds Mach.,Minds Mach (Dordr)
1471-1257,SOLAR ENERGY,SOL ENERGY,Sol. Energy,Sol Energy
1879-2677,SIGNAL PROCESSING-IMAGE COMMUNICATION,SIGNAL PROCESS-IMAGE,Signal Process.-Image Commun.,Signal Process Image Commun
1879-3444,SOIL & TILLAGE RESEARCH,SOIL TILL RES,Soil Tillage Res.,Soil Tillage Res
1873-2224,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,PROG PART NUCL PHYS,Prog. Part. Nucl. Phys.,Prog Part Nucl Phys
1873-1562,NUCLEAR PHYSICS B,NUCL PHYS B,Nucl. Phys. B,Nucl Phys B
2076-3921,Antioxidants,ANTIOXIDANTS-BASEL,Antioxidants,Antioxidants (Basel)
1872-7360,ORE GEOLOGY REVIEWS,ORE GEOL REV,Ore Geol. Rev.,Ore Geol Rev
2329-7778,Structural Dynamics-US,STRUCT DYNAM-US,Struct. Dyn.-US,Struct Dyn
1422-6960,PHYSICS IN PERSPECTIVE,PHYS PERSPECT,Phys. Perspect.,Phys Perspect
1872-7964,SCIENCE OF COMPUTER PROGRAMMING,SCI COMPUT PROGRAM,Sci. Comput. Program.,Sci Comput Program
2297-1769,Frontiers in Veterinary Science,FRONT VET SCI,Front. Vet. Sci.,Front Vet Sci
1741-2986,JOURNAL OF VIBRATION AND CONTROL,J VIB CONTROL,J. Vib. Control,J Vib Control
1879-3398,SOLAR ENERGY MATERIALS AND SOLAR CELLS,SOL ENERG MAT SOL C,Sol. Energy Mater. Sol. Cells,Sol Energy Mater Sol Cells
2297-055X,Frontiers in Cardiovascular Medicine,FRONT CARDIOVASC MED,Front. Cardiovasc. Med.,Front Cardiovasc Med
1879-310X,Transport Policy,TRANSPORT POLICY,Transp. Policy,Transp Policy (Oxf)
2304-8158,Foods,FOODS,Foods,Foods
1751-6552,JOURNAL OF NEAR INFRARED SPECTROSCOPY,J NEAR INFRARED SPEC,J. Near Infrared Spectrosc.,J Near Infrared Spectrosc
1936-4830,Trends in Organized Crime,TRENDS ORGAN CRIME,Trends Organ. Crime,Trends Organ Crime
2155-7470,Journal of Integrated Pest Management,J INTEGR PEST MANAG,J. Integr. Pest Manag.,J Integr Pest Manag
1572-8102,FORMAL METHODS IN SYSTEM DESIGN,FORM METHOD SYST DES,Form. Methods Syst. Des.,Form Methods Syst Des
2055-6845,European Heart Journal-Cardiovascular Pharmacotherapy,EUR HEART J-CARD PHA,EUR. HEART J.-CARDIOVASC. PHARMACOTHER.,Eur Heart J Cardiovasc Pharmacother
1877-265X,Waste and Biomass Valorization,WASTE BIOMASS VALORI,Waste Biomass Valorization,Waste Biomass Valorization
1872-6801,FUZZY SETS AND SYSTEMS,FUZZY SET SYST,Fuzzy Sets Syst.,Fuzzy Sets Syst
1862-4480,Optimization Letters,OPTIM LETT,Optim. Lett.,Optim Lett
1743-0445,Sport in Society,SPORT SOC,Sport Soc.,Sport Soc
1573-6687,POLITICAL BEHAVIOR,POLIT BEHAV,Polit. Behav.,Polit Behav
1573-8698,JOURNAL OF DYNAMICAL AND CONTROL SYSTEMS,J DYN CONTROL SYST,J. Dyn. Control Syst.,J Dyn Control Syst
2092-8467,Molecular & Cellular Toxicology,MOL CELL TOXICOL,Mol. Cell. Toxicol.,Mol Cell Toxicol
1873-393X,CEMENT & CONCRETE COMPOSITES,CEMENT CONCRETE COMP,Cem. Concr. Compos.,Cem Concr Compos
1990-2573,Journal of the European Optical Society-Rapid Publications,J EUR OPT SOC-RAPID,J. Eur. Opt. Soc.-Rapid Publ.,J Eur Opt Soc Rapid Publ
1434-453X,ROCK MECHANICS AND ROCK ENGINEERING,ROCK MECH ROCK ENG,Rock Mech. Rock Eng.,Rock Mech Rock Eng
1938-2863,EURASIAN GEOGRAPHY AND ECONOMICS,EURASIAN GEOGR ECON,Eurasian Geogr. Econ.,Eurasian Geogr Econ
2379-139X,Tomography,TOMOGRAPHY,Tomography,Tomography
2451-9030,Biological Psychiatry-Cognitive Neuroscience and Neuroimaging,BIOL PSYCHIAT-COGN N,Biol. Psychiat.-Cogn. Neurosci. Neuroimag.,Biol Psychiatry Cogn Neurosci Neuroimaging
2057-5858,Microbial Genomics,MICROB GENOMICS,Microb. Genomics,Microb Genom
2309-608X,Journal of Fungi,J FUNGI,J. Fungi,J Fungi (Basel)
2073-4395,Agronomy-Basel,AGRONOMY-BASEL,Agronomy-Basel,Agronomy (Basel)
1336-8052,GEOLOGICA CARPATHICA,GEOL CARPATH,Geol. Carpath.,Geol Carpath
2056-2802,Papers in Palaeontology,PAP PALAEONTOL,Pap. Palaeontol.,Pap Palaeontol
2049-1115,HAU-Journal of Ethnographic Theory,HAU-J ETHNOGR THEORY,HAU-J. Ethnogr. Theory,HAU
2041-8213,Astrophysical Journal Letters,ASTROPHYS J LETT,Astrophys. J. Lett.,Astrophys J Lett
1872-910X,APPLIED ACOUSTICS,APPL ACOUST,Appl. Acoust.,Appl Acoust
1478-0941,JOURNAL OF SYSTEMATIC PALAEONTOLOGY,J SYST PALAEONTOL,J. Syst. Palaeontol.,J Syst Palaeontol
2391-5463,Open Medicine,OPEN MED-WARSAW,Open Med.,Open Med (Wars)
1741-3168,STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL,STRUCT HEALTH MONIT,Struct. Health Monit.,Struct Health Monit
1420-8938,ARCHIV DER MATHEMATIK,ARCH MATH,Arch. Math.,Arch Math
1839-3543,Journal of Family Studies,J FAM STUD,J. Fam. Stud.,J Fam Stud
1873-6998,FLOW MEASUREMENT AND INSTRUMENTATION,FLOW MEAS INSTRUM,Flow Meas. Instrum.,Flow Meas Instrum
